Name,Varietal,Region,Price,Dosage,Online_Rating,Total_Ratings,sommelier_ratings
Two Vines Cabernet Sauvignon,Cabernet Sauvignon,Washington,7 99,750 ML,3.7,119 Ratings,
Williams Selyem Westside Road Neighbors Pinot Noir 2020,Pinot Noir,"Russian River, Sonoma County, California",124 99,750 ML,0.0,0 Ratings,WW 94
Gramercy Cellars Lower East Syrah 2018,Syrah/Shiraz,"Columbia Valley, Washington",23 99,750 ML,0.0,0 Ratings,
Chateau Ste. Michelle Impetus 2014,Other Red Blends,"Columbia Valley, Washington",184 99,750 ML,0.0,0 Ratings,
Intrinsic Cabernet Sauvignon 2018,Cabernet Sauvignon,"Columbia Valley, Washington",19 99,750 ML,4.0,35 Ratings,WE 90
Paul Pernot Puligny-Montrachet Chalumeaux Premier Cru 2020,Chardonnay,"Puligny-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",119 99,750 ML,0.0,0 Ratings,JM 92
Chateau de Saint Cosme Gigondas le Claux 2019,Rhone Red Blends,"Gigondas, Rhone, France",160,750 ML,0.0,0 Ratings,JD 97 WS 97
Joseph Phelps Freestone Vineyards Chardonnay 2019,Chardonnay,"Sonoma Coast, Sonoma County, California",60,750 ML,3.9,11 Ratings,RP 96 JS 95 JD 94 WS 92
Robert Craig Cellars The Stick Howell Mountain Red Blend 2016,Bordeaux Red Blends,"Howell Mountain, Napa Valley, California",160,750 ML,0.0,0 Ratings,JS 94 RP 91
Ramey Sidebar Zinfandel 2018,Zinfandel,"Russian River, Sonoma County, California",25 99,750 ML,3.3,9 Ratings,WE 91
Tendril Child's Play Pinot Noir 2018,Pinot Noir,"Willamette Valley, Oregon",19 99,750 ML,0.0,0 Ratings,
POE Pinot Nouveau 2021,Pinot Noir,"Sonoma County, California",23 99,750 ML,0.0,0 Ratings,
J.K. Carriere Provocateur Pinot Noir 2019,Pinot Noir,"Willamette Valley, Oregon",27 99,750 ML,0.0,0 Ratings,JS 91
Bodegas Venta La Vega Adaras Lluvia Blanco 2020,Other White Blends,"La Mancha, Spain",11 99,750 ML,0.0,0 Ratings,
Zolo Unoaked Chardonnay 2020,Chardonnay,"Mendoza, Argentina",11 99,750 ML,4.0,6 Ratings,JS 91
Hacienda Lopez de Haro Crianza 2017,Other Red Blends,"Rioja, Spain",12 99,750 ML,4.1,87 Ratings,WE 90
Elk Cove Old Vine Selection Pinot Noir (Willamette Barrel Auction) 2015,Pinot Noir,"Chehalem Mountains, Willamette Valley, Oregon",89 99,750 ML,0.0,0 Ratings,
Chateau Pontet-Canet 2000,Bordeaux Red Blends,"Pauillac, Bordeaux, France",209 97,750 ML,4.6,10 Ratings,JS 94 RP 92 WS 92 WE 90
Flying Goat Cellars Goat Bubbles Blanc de Blancs 2012,Vintage Sparkling Wine,"Santa Maria Valley, Central Coast, California",39 99,750 ML,0.0,0 Ratings,
Pierre Cotton Brouilly 2020,Gamay,"Beaujolais, Burgundy, France",41 99,750 ML,0.0,0 Ratings,
Le Petit Saint Vincent Saumur Champigny 2018,Cabernet Franc,"Saumur, Loire, France",23 99,750 ML,0.0,0 Ratings,
Bravdo Coupage (OK Kosher) 2014,Other Red Blends,Israel,34 99,750 ML,0.0,0 Ratings,SJ 92
Don Rodolfo Moscato 2019,Muscat,"Mendoza, Argentina",12 99,750 ML,3.9,20 Ratings,WW 89
Monchhof Mosel Riesling 2020,Riesling,"Mosel, Germany",20 99,750 ML,0.0,0 Ratings,
Bodega Aniello 006 Chardonnay 2019,Chardonnay,"Patagonia, Argentina",16 99,750 ML,0.0,0 Ratings,JS 92
Chateau Ste. Michelle Columbia Valley Sauvignon Blanc 2020,Sauvignon Blanc,"Columbia Valley, Washington",9 99,750 ML,3.9,8 Ratings,WE 88
Crossbarn Sonoma Coast Chardonnay 2019,Chardonnay,"Sonoma Coast, Sonoma County, California",26 99,750 ML,4.0,12 Ratings,RP 90
Bailly-Lapierre Brut Rose,Sparkling Rosé,"Burgundy, France",25,750 ML,4.3,22 Ratings,
Legacy Adventure Wine Bag,,,119 99,0 ML,0.0,0 Ratings,
Mionetto Extra Dry Presitge Rose,Sparkling Rosé,"Veneto, Italy",16 99,750 ML,4.4,26 Ratings,
Stewart Sonoma Mountain Chardonnay 2019,Chardonnay,"Sonoma Mountain, Sonoma Valley, Sonoma County, California",38 99,750 ML,0.0,0 Ratings,
Failla Haynes Vineyard Chardonnay 2019,Chardonnay,"Coombsville, Napa Valley, California",57 99,750 ML,0.0,0 Ratings,V 96 JD 91
Domaine Ponsot Chapelle-Chambertin Grand Cru (3 Liter - cracked wax capsule) 2005,Pinot Noir,"Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France","1,799 97",750 ML,0.0,0 Ratings,RP 95
"Pasqua Desire, Lush, and Zin Primitivo 2019",Primitivo,"Puglia, Italy",18 99,750 ML,0.0,0 Ratings,
Louis Jadot Vosne-Romanee 2019,Pinot Noir,"Vosne-Romanee, Cote de Nuits, Cote d'Or, Burgundy, France",99 99,750 ML,0.0,0 Ratings,V 92 BH 91
Storybook Mountain Four Reds 2018,Bordeaux Red Blends,"Napa Valley, California",41 99,750 ML,0.0,0 Ratings,WW 92
Bouchard Pere & Fils Pommard Premier Cru 2017,Pinot Noir,"Pommard, Cote de Beaune, Cote d'Or, Burgundy, France",125,750 ML,0.0,0 Ratings,W & S 93 WS 92
LaRue Sonoma Coast Pinot Noir 2016,Pinot Noir,"Sonoma Coast, Sonoma County, California",59 98,750 ML,0.0,0 Ratings,WE 94 RP 92
Chateau Fortia Tradition Chateauneuf-du-Pape 2018,Rhone Red Blends,"Chateauneuf-du-Pape, Rhone, France",44 99,750 ML,3.7,5 Ratings,V 91 JD 90
Azul y Garanza Viura (1 Liter) 2020,Viura,"Navarra, Spain",13 99,1000 ML,0.0,0 Ratings,
Carro Tinto 2020,Rhone Red Blends,"Yecla, Spain",14 99,750 ML,0.0,0 Ratings,
Albert Boxler Riesling Reserve 2018,Riesling,"Alsace, France",69 99,750 ML,0.0,0 Ratings,
Schramsberg Mirabelle Brut,Non-Vintage Sparkling Wine,"North Coast, California",29,750 ML,4.0,72 Ratings,WS 90 WE 90
Chateau Cheval Blanc Le Petit Cheval 2018,,,219 99,750 ML,0.0,0 Ratings,JS 94 JD 94 WE 94 D 93 RP 92
Gallo Estate Chardonnay 2012,Chardonnay,California,50,750 ML,0.0,0 Ratings,RP 92
Spice Route Chakalaka 2017,Other Red Blends,"Swartland, South Africa",24 99,750 ML,0.0,0 Ratings,
Sine Qua Non Dangerous Birds Syrah 2007,Syrah/Shiraz,California,969 97,750 ML,0.0,0 Ratings,JS 100 RP 98 WS 95
Domaine des Senechaux Chateauneuf-du-Pape 2017,Rhone Red Blends,"Chateauneuf-du-Pape, Rhone, France",55,750 ML,0.0,0 Ratings,RP 93 WS 91
La Craie Vouvray 2017,Chenin Blanc,"Vouvray, Touraine, Loire, France",20,750 ML,3.3,6 Ratings,
Domaine Rosier Jean Philippe Brut 2019,Vintage Sparkling Wine,"Blanquette de Limoux, Limoux, Languedoc, South of France, France",10 99,750 ML,0.0,0 Ratings,
An Approach to Relaxation Sucette Grenache 2017,Grenache,"Barossa Valley, Barossa, South Australia, Australia",58 99,750 ML,0.0,0 Ratings,W & S 96 RP 94 V 94
Domaine Blain-Gagnard Volnay Les Pitures Premier Cru 2018,Pinot Noir,"Volnay, Cote de Beaune, Cote d'Or, Burgundy, France",94 99,750 ML,0.0,0 Ratings,BH 92
Bodega Colome Altura Maxima Malbec 2015,Malbec,"Salta, Argentina",179 99,750 ML,4.4,10 Ratings,RP 95
Domaine Bachelet-Monnot Maranges Clos de la Boutiere Premier Cru 2019,Pinot Noir,"Maranges, Cote de Beaune, Cote d'Or, Burgundy, France",49 99,750 ML,0.0,0 Ratings,RP 92 BH 91
La Marca Prosecco Rose 2019,Sparkling Rosé,"Prosecco, Italy",20,750 ML,4.2,44 Ratings,
Jim Barry Assyrtiko 2018,Assyrtiko,"Clare Valley, South Australia, Australia",29 99,750 ML,0.0,0 Ratings,WS 91 RP 91 WE 90
Lava Cap Sangiovese 2019,Sangiovese,"El Dorado, Sierra Foothills, California",25 99,750 ML,3.7,7 Ratings,WE 92
Domaine Francois Legros Morey-Saint-Denis Clos Sorbe Premier Cru 2014,Pinot Noir,"Morey-St-Denis, Cote de Nuits, Cote d'Or, Burgundy, France",78 99,750 ML,0.0,0 Ratings,
Railsback Freres Red Wine of Santa Ynez Valley 2019,Rhone Red Blends,"Santa Ynez Valley, Santa Barbara, Central Coast, California",41 99,750 ML,0.0,0 Ratings,
Domaine Nicolas Rossignol Pommard les Epenots Premier Cru 2012,Pinot Noir,"Pommard, Cote de Beaune, Cote d'Or, Burgundy, France",199 97,750 ML,0.0,0 Ratings,RP 94 V 93
Vina Mayor Gran Reserva 2012,Tempranillo,"Ribera del Duero, Spain",38 99,750 ML,0.0,0 Ratings,W & S 90
Dr. Pauly-Bergweiler Wehlener Sonnenuhr Spatlese 2018,Riesling,"Mosel, Germany",27 99,750 ML,0.0,0 Ratings,WE 91
Domaine de l'Enclos Chablis 2018,Chardonnay,"Chablis, Burgundy, France",36 99,750 ML,0.0,0 Ratings,WW 90
Long Meadow Ranch Anderson Valley Chardonnay 2017,Chardonnay,"Anderson Valley, Mendocino, California",41 99,750 ML,0.0,0 Ratings,
Madai Origen Mencia 2017,Mencia,"Bierzo, Spain",21 99,750 ML,3.9,8 Ratings,
Zenato Pinot Grigio 2021,Pinot Gris/Grigio,"Veneto, Italy",13 99,750 ML,0.0,0 Ratings,
Chalk Hill Estate Chardonnay 2019,Chardonnay,"Sonoma County, California",42,750 ML,3.9,7 Ratings,RP 92
Domaine Emile Beyer Pinot Gris Tradition 2019,Pinot Gris/Grigio,"Alsace, France",25 99,750 ML,2.6,9 Ratings,
Windows on Wine: Your Dinner Party Tasting Trio with Tasting Video,,,129 99,750 ML,0.0,0 Ratings,
Skyside Cabernet Sauvignon 2018,Cabernet Sauvignon,"North Coast, California",23,750 ML,0.0,0 Ratings,
Esk Valley Sauvignon Blanc 2021,Sauvignon Blanc,"Marlborough, New Zealand",16 99,750 ML,0.0,0 Ratings,
Piper-Heidsieck Rare Rose with Gift Box 2008,Sparkling Rosé,"Champagne, France",469 99,750 ML,0.0,0 Ratings,JD 98 WS 97 RP 95
Chateau le Doyenne 2018,Bordeaux Red Blends,"Bordeaux, France",20,750 ML,3.8,11 Ratings,WE 92 JS 90
Rotari Brut 2014,Vintage Sparkling Wine,"Trentino-Alto Adige, Italy",21,750 ML,4.0,8 Ratings,
Domaine Joseph Voillot Volnay Les Champans Premier Cru 2018,Pinot Noir,"Volnay, Cote de Beaune, Cote d'Or, Burgundy, France",125,750 ML,0.0,0 Ratings,WS 93 RP 91
Merus Cabernet Sauvignon 2017,Cabernet Sauvignon,"Coombsville, Napa Valley, California",159 99,750 ML,0.0,0 Ratings,WS 93 JS 93
Chateau Fonbadet 2018,Bordeaux Red Blends,"Pauillac, Bordeaux, France",44 99,750 ML,4.4,10 Ratings,V 93 JD 92 JS 91 D 91 RP 91
Domaine des Comtes Lafon Beaune Les Epenottes Premier Cru 2019,Pinot Noir,"Beaune, Cote de Beaune, Cote d'Or, Burgundy, France",99 99,750 ML,0.0,0 Ratings,JM 93 RP 93 BH 91
Domaine Ponsot Corton-Bressandes Grand Cru 2016,Pinot Noir,"Aloxe-Corton, Cote de Beaune, Cote d'Or, Burgundy, France",389 99,750 ML,0.0,0 Ratings,V 93
Berger Gruner Veltliner (1 Liter) 2020,Gruner Veltliner,Austria,15 99,1000 ML,3.8,23 Ratings,
Annabella Red Blend 2018,Other Red Blends,California,17 99,750 ML,4.2,5 Ratings,
Domaine Fabrice Larochette Bourgogne Blanc 2018,Chardonnay,"Burgundy, France",18 99,750 ML,0.0,0 Ratings,
Bernardus Sierra Mar Vineyard Pinot Noir 2017,Pinot Noir,"Santa Lucia Highlands, Monterey, Central Coast, California",84 99,750 ML,0.0,0 Ratings,WE 91 WS 90 CG 90
A Portela Mencia 2015,Mencia,"Valdeorras, Spain",25 99,750 ML,3.9,87 Ratings,JS 93 WW 91 RP 90
Catena Alta Cabernet Sauvignon 2018,Cabernet Sauvignon,"Mendoza, Argentina",45 99,750 ML,4.2,6 Ratings,JS 93 RP 92
Riedel Flirt Decanter,,,399 97,0 ML,0.0,0 Ratings,
Warwick Estate The First Lady Sauvignon Blanc 2019,Sauvignon Blanc,South Africa,18 99,750 ML,0.0,0 Ratings,
Oregon Territory Pinot Noir 2017,Pinot Noir,Oregon,19 99,750 ML,0.0,0 Ratings,WE 90
Chateau de Saint Cosme Chateauneuf-du-Pape 2018,Rhone Red Blends,"Chateauneuf-du-Pape, Rhone, France",62 99,750 ML,4.3,5 Ratings,WS 93 V 93
Three Sticks One Sky Chardonnay 2013,Chardonnay,"Sonoma Mountain, Sonoma Valley, Sonoma County, California",62 97,750 ML,0.0,0 Ratings,
Eisele Vineyard Altagracia Cabernet Sauvignon 2018,Cabernet Sauvignon,"Napa Valley, California",150,750 ML,0.0,0 Ratings,JS 97 RP 95 WS 93
Red Truck Winery Pinot Noir 2015,Pinot Noir,California,13 99,750 ML,3.3,8 Ratings,
Margerum Uber Syrah 2018,Syrah/Shiraz,"Santa Barbara, Central Coast, California",74 99,750 ML,0.0,0 Ratings,JD 94 WS 94 WE 93
Hendry Albarino 2020,Albarino,"Napa Valley, California",21 99,750 ML,0.0,0 Ratings,
Manzone Barolo Le Gramolere 2015,Nebbiolo,"Barolo, Piedmont, Italy",69 99,750 ML,0.0,0 Ratings,JS 92
Domaines Schlumberger Grand Cru Saering Riesling 2017,Riesling,"Alsace, France",35 99,750 ML,2.9,5 Ratings,TP 92
Rhys Vineyards Alpine Vineyard Chardonnay 2006,Chardonnay,"Santa Cruz Mountains, California",129 97,750 ML,0.0,0 Ratings,RP 92
Domaine Michel & Joanna Ecard Savigny-les-Beaune Les Serpentieres Premier Cru 2019,Pinot Noir,"Savigny-les-Beaune, Cote de Beaune, Cote d'Or, Burgundy, France",43 99,750 ML,0.0,0 Ratings,
Trig Point Railyard Vineyard Zinfandel 2017,Zinfandel,"Alexander Valley, Sonoma County, California",22 99,750 ML,4.1,8 Ratings,
L10 by Valentin Bianchi Malbec 2020,Malbec,"Mendoza, Argentina",14 99,750 ML,0.0,0 Ratings,
Weingut Ziereisen Tschuppen Spatburgunder 2017,Pinot Noir,"Baden, Germany",26 99,750 ML,0.0,0 Ratings,
Paris Valley Road Cabernet Sauvignon 2017,Cabernet Sauvignon,California,18,750 ML,3.9,19 Ratings,WW 89
Borsao Cabriola 2016,Other Red Blends,"Campo de Borja, Spain",15 99,750 ML,3.7,11 Ratings,WS 91 RP 91 JS 91
Broadbent Gruner Veltliner (1 Liter) 2020,Gruner Veltliner,Austria,12 99,1000 ML,0.0,0 Ratings,
Avignonesi 50&50 2015,Tuscan Blends,"Tuscany, Italy",129 99,750 ML,0.0,0 Ratings,
Carruades de Lafite (Futures Pre-Sale) 2020,Bordeaux Red Blends,"Pauillac, Bordeaux, France",249 97,750 ML,3.5,5 Ratings,JS 97 JD 94 RP 93 D 92
Pierre Moncuit Brut Grand Cru Blanc de Blancs 2008,Vintage Sparkling Wine,"Champagne, France",89 99,750 ML,0.0,0 Ratings,V 94
Burgo Viejo Rioja Crianza 2018,Tempranillo,"Rioja, Spain",17,750 ML,0.0,0 Ratings,
OVID Hexameter 2017,Bordeaux Red Blends,"Napa Valley, California",324 99,750 ML,0.0,0 Ratings,JD 94
Jam Jar Sweet White 2021,Other White Blends,South Africa,9 99,750 ML,3.5,5 Ratings,
Gueissard Bandol Rose 2020,Rosé,"Provence, South of France, France",20 99,750 ML,0.0,0 Ratings,
Marques de Caceres Rioja Crianza 2017,Tempranillo,"Rioja, Spain",20,750 ML,3.7,275 Ratings,JS 92
Cline Ancient Vines Carignane 2019,Carignan,"San Francisco Bay, Central Coast, California",17 99,750 ML,0.0,0 Ratings,
Presqu'ile Santa Barbara Pinot Noir 2020,Pinot Noir,"Santa Barbara, Central Coast, California",26 99,750 ML,0.0,0 Ratings,
Michelini I Mufatto Propositos Chenin Blanc 2019,Chenin Blanc,"Mendoza, Argentina",49 99,750 ML,0.0,0 Ratings,
Vina Bujanda Tempranillo 2019,Tempranillo,"Rioja, Spain",12 99,750 ML,0.0,0 Ratings,
Paul Hobbs Beckstoffer To Kalon Vineyard Cabernet Sauvignon 2018,Cabernet Sauvignon,"Oakville, Napa Valley, California",550,750 ML,0.0,0 Ratings,RP 98 JS 98 WS 96 CG 95
Famille Perrin Vinsobres Les Cornuds 2018,Rhone Red Blends,"Vinsobres, Rhone, France",20,750 ML,3.9,48 Ratings,JD 92 WS 91
Clos du Mont Olivet Chateauneuf-du-Pape 1995,Rhone Red Blends,"Chateauneuf-du-Pape, Rhone, France",79 97,750 ML,0.0,0 Ratings,
La Comarcal Delmoro Blanco 2020,Other White Blends,"Valencia, Spain",22 99,750 ML,0.0,0 Ratings,
Chateau La Conseillante 2000,Bordeaux Red Blends,"Pomerol, Bordeaux, France",379 97,750 ML,0.0,0 Ratings,RP 96 W & S 91 WS 90
Archery Summit Cave Cuvee Pinot Noir (Willamette Barrel Auction) 2018,Pinot Noir,"Dundee Hills, Willamette Valley, Oregon",100,750 ML,0.0,0 Ratings,
Barossa Valley Estate Cabernet Sauvignon 2018,Cabernet Sauvignon,"Barossa Valley, Barossa, South Australia, Australia",16 99,750 ML,0.0,0 Ratings,WE 89
Ruffino Modus 2018,Tuscan Blends,"Tuscany, Italy",28 99,750 ML,0.0,0 Ratings,
90 Point Red Wine Gift Set,,,69,0 ML,0.0,0 Ratings,
North by Northwest NxNW Syrah 2013,Syrah/Shiraz,"Columbia Valley, Washington",39 99,750 ML,0.0,0 Ratings,WS 93 CG 90
Saget la Perriere Sancerre 2020,Sauvignon Blanc,"Sancerre, Loire, France",35 99,750 ML,0.0,0 Ratings,
Domaine Anne et Herve Sigaut Morey-St-Denis Les Millandes Premier Cru 2016,Pinot Noir,"Morey-St-Denis, Cote de Nuits, Cote d'Or, Burgundy, France",94 99,750 ML,0.0,0 Ratings,BH 93
Louis Jadot Batard-Montrachet Grand Cru 2019,Chardonnay,"Puligny-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",539 99,750 ML,0.0,0 Ratings,JS 96 RP 95 WW 94 D 94
Lapis Luna Napa Cabernet Sauvignon Limited Reserve 2019,Cabernet Sauvignon,"Napa Valley, California",24 99,750 ML,4.3,13 Ratings,WW 89
Chamisal Vineyards Estate Pinot Noir 2015,Pinot Noir,"Edna Valley, Central Coast, California",39 99,750 ML,0.0,0 Ratings,WE 92 RP 90
Tenet GSM Blend 2015,Rhone Red Blends,"Columbia Valley, Washington",70 98,750 ML,4.8,8 Ratings,RP 94 JD 94 JS 94 WE 92 WS 91
S.A. Prum Wehlener Sonnenuhr Riesling Kabinett 2016,Riesling,"Mosel, Germany",45,750 ML,4.0,29 Ratings,JS 90
Zenato Valpolicella Superiore 2018,Other Red Blends,"Valpolicella, Veneto, Italy",15 99,750 ML,3.8,32 Ratings,JS 92
Dandelion Vineyards Lionheart of the Barossa Shiraz 2019,Syrah/Shiraz,"Barossa Valley, Barossa, South Australia, Australia",23 99,750 ML,0.0,0 Ratings,BH 91
Domaine Joseph Roty Gevrey-Chambertin Clos Prieur Bas 2017,Pinot Noir,"Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France",119 99,750 ML,0.0,0 Ratings,V 92
